Age,License,Experience,Accidents,Traffic_Violation,Rating,Result
19,no,1,4,0,4.4,0
46,no,11,0,2,3.1,0
57,no,4,2,3,4.0,0
67,yes,11,5,4,3.8,0
63,no,4,4,3,3.8,0
23,yes,9,0,3,3.4,1
73,yes,3,3,1,3.9,0
61,yes,5,0,5,3.4,0
56,yes,14,0,5,3.6,0
70,yes,12,1,3,4.6,1
22,yes,2,2,0,4.2,0
60,yes,0,1,4,4.5,0
35,yes,7,4,0,3.0,1
74,yes,19,0,3,4.0,1
55,yes,11,0,4,4.1,1
55,yes,0,1,2,3.6,0
19,yes,0,4,2,1.5,0
48,yes,18,0,5,0.5,0
71,no,1,2,0,4.3,0
48,yes,18,0,5,4.6,0
72,no,3,4,5,4.6,0
36,yes,19,0,3,3.2,1
32,yes,6,0,3,4.6,1
53,no,12,0,3,0.5,0
61,yes,9,0,2,3.3,1
32,yes,17,1,0,3.0,1
74,yes,1,3,3,4.0,0
31,no,10,4,2,2.0,0
18,no,5,1,1,4.0,0
17,yes,1,0,2,1.5,0
69,no,0,5,4,3.1,0
62,yes,6,0,3,4.5,1
38,yes,10,2,3,4.9,1
37,yes,6,0,0,3.2,1
69,no,3,4,0,1.5,0
71,yes,11,3,5,3.8,0
48,yes,6,2,3,3.2,1
35,yes,3,1,3,3.2,0
30,yes,3,5,4,4.8,0
71,no,7,1,2,4.4,0
31,yes,9,2,3,3.2,1
71,no,3,2,3,4.2,0
43,no,8,1,3,2.0,0
47,yes,17,3,0,4.3,1
56,yes,10,2,4,4.4,1
23,no,12,0,4,4.0,0
61,no,5,5,0,4.4,0
31,no,1,3,2,3.4,0
75,no,6,5,5,3.6,0
49,no,7,5,3,4.4,0
51,no,17,2,4,3.3,0
67,no,9,4,5,4.6,0
20,yes,1,1,4,3.6,0
43,yes,13,0,2,3.6,1
53,no,11,0,0,2.0,0
30,yes,6,3,3,3.3,1
18,yes,2,1,1,4.7,0
57,no,1,0,5,0.0,0
66,no,7,3,1,4.5,0
63,yes,4,2,3,4.8,0
38,yes,19,0,3,3.7,1
57,no,19,5,1,3.0,0
27,yes,7,4,5,0.5,0
64,no,5,0,0,3.4,0
52,yes,2,0,3,3.3,0
66,no,11,0,0,3.2,0
42,no,11,0,3,2.0,0
49,yes,1,5,2,4.5,0
46,yes,17,4,1,4.6,1
71,no,13,5,0,4.7,0
59,yes,9,2,0,3.8,1
62,no,20,1,5,3.8,0
44,yes,17,0,3,3.4,1
53,no,8,2,2,0.5,0
33,no,10,2,5,4.8,0
37,no,2,5,2,3.2,0
58,yes,3,2,5,3.2,0
45,no,13,4,0,4.3,0
45,yes,11,0,3,4.5,1
44,yes,12,0,2,4.0,1
27,no,9,5,1,3.7,0
28,no,5,0,4,2.0,0
55,no,18,4,5,3.4,0
26,no,4,0,4,4.9,0
48,no,5,1,3,1.0,0
50,no,1,3,0,3.3,0
57,yes,10,1,1,4.4,1
51,yes,11,0,0,3.4,1
39,no,8,3,4,2.5,0
49,no,7,1,3,3.8,0
54,no,20,2,2,3.9,0
57,no,4,4,3,3.8,0
55,no,8,2,5,0.5,0
53,no,11,5,5,1.0,0
72,yes,15,1,2,2.5,0
40,no,5,1,2,4.4,0
71,no,5,1,0,3.1,0
68,no,9,5,5,3.0,0
72,yes,15,5,2,0.5,0
64,yes,17,4,0,4.4,1
24,no,10,3,0,3.1,0
56,no,9,5,0,4.2,0
64,yes,20,3,5,3.3,0
44,no,17,1,0,3.3,0
57,yes,20,2,4,5.0,1
46,no,14,1,5,3.3,0
46,no,6,0,3,3.7,0
30,no,5,5,1,0.5,0
47,yes,18,3,1,3.4,1
40,yes,12,0,0,3.6,1
49,no,2,4,3,3.6,0
75,yes,10,0,5,4.2,0
21,yes,2,4,1,4.1,0
62,no,15,4,4,3.7,0
72,no,4,3,2,3.7,0
66,no,15,0,1,4.1,0
73,no,17,5,0,4.6,0
26,no,18,0,1,0.5,0
66,no,19,4,2,4.5,0
30,yes,10,4,2,3.2,1
52,no,1,1,0,0.0,0
30,yes,8,0,0,4.9,1
22,no,3,1,2,4.6,0
67,no,9,0,3,3.7,0
51,yes,16,4,2,3.9,1
26,no,5,0,1,4.1,0
73,yes,8,5,4,4.5,0
49,yes,0,2,3,0.5,0
40,no,13,4,3,4.1,0
62,no,16,2,3,3.3,0
71,no,4,0,1,1.5,0
43,yes,19,3,1,3.4,1
54,yes,8,0,5,4.6,0
60,yes,20,2,0,3.9,1
22,yes,3,3,0,2.5,0
65,yes,20,3,1,3.3,1
57,no,9,1,0,5.0,0
29,yes,10,2,4,4.3,1
32,yes,12,4,3,4.4,1
25,no,12,5,3,4.6,0
18,yes,8,4,0,4.0,0
51,no,9,0,5,3.3,0
18,yes,17,4,5,4.3,0
18,yes,19,2,5,4.1,0
28,yes,7,4,5,3.4,0
64,no,19,2,4,4.1,0
28,no,15,5,3,4.1,0
22,no,5,5,4,4.9,0
28,yes,4,5,1,4.0,0
33,no,0,4,4,3.4,0
56,yes,19,3,1,4.7,1
26,yes,6,4,3,3.4,1
74,yes,5,2,1,2.5,0
22,yes,0,2,0,4.9,0
30,no,18,1,0,3.1,0
39,no,12,2,2,4.8,0
24,no,20,0,1,3.6,0
52,yes,5,5,3,4.3,0
53,no,15,3,5,4.4,0
19,no,9,1,2,4.5,0
23,yes,4,1,1,1.0,0
59,no,19,4,3,4.5,0
45,no,20,1,2,1.5,0
24,yes,2,0,0,3.4,0
34,yes,14,1,0,5.0,1
68,no,3,0,5,3.5,0
18,no,17,5,0,3.3,0
40,yes,11,4,3,3.2,1
53,no,6,1,2,3.4,0
32,no,12,0,3,4.4,0
25,yes,5,2,3,4.1,0
23,no,0,1,4,4.5,0
45,yes,19,0,0,3.8,1
42,no,1,2,3,3.6,0
55,yes,16,1,3,3.5,1
60,yes,11,4,2,4.6,1
37,yes,18,2,1,5.0,1
53,yes,19,2,3,4.5,1
19,yes,1,4,2,4.0,0
26,yes,2,5,4,3.4,0
63,no,6,4,4,4.9,0
18,no,17,2,5,2.5,0
65,yes,0,2,4,3.4,0
30,yes,2,2,1,3.8,0
70,no,5,1,5,4.4,0
39,no,5,3,3,4.3,0
64,yes,13,4,2,2.5,0
23,no,13,3,3,3.1,0
57,no,6,5,2,3.3,0
23,yes,2,1,5,3.1,0
70,yes,10,3,0,4.9,1
28,no,20,4,2,3.5,0
72,no,13,0,1,4.3,0
53,no,6,4,3,4.0,0
21,yes,1,5,0,4.4,0
61,no,15,0,3,3.4,0
55,yes,20,4,2,3.1,1
74,yes,8,2,1,4.3,1
53,yes,6,4,3,0.5,0
59,yes,19,2,1,4.8,1
